source_kind,source_path,original_name,reason,sha256,kept_as,would_have_been
extracted_archive_member,1778465323276-ainurlindal-text.zip,1778465323276-ainurlindal-text.zip!/part-01.md,exact_duplicate_content,8e714ce8d70aa1963c50c7181236adffa88275ee8155761ef6203cef5489c9c6,Tests/Story Corpora/1778183321557-ainurlindal-text/part-01.md,Tests/Story Corpora/1778465323276-ainurlindal-text/part-01.md
extracted_archive_member,aidrpg-ai-dungeon-mimic-tester-v1.4.1-safe(2).zip,aidrpg-ai-dungeon-mimic-tester-v1.4.1-safe(2).zip!/aidrpg-final-ai-dungeon-stress-tester-v1.4/reports/failures-only.json,exact_duplicate_content,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,Tests/Static Audits and Smoke Results/aidrpg-ai-dungeon-mimic-tester-v1.4.1-safe_2/aidrpg-final-ai-dungeon-stress-tester-v1.4/reports/validation-smoke/results.json,Tests/Harness Regression and Reports/aidrpg-ai-dungeon-mimic-tester-v1.4.1-safe_2/aidrpg-final-ai-dungeon-stress-tester-v1.4/reports/failures-only.json
extracted_archive_member,aidrpg-ai-dungeon-mimic-tester-v1.4.1-safe(2).zip,aidrpg-ai-dungeon-mimic-tester-v1.4.1-safe(2).zip!/aidrpg-final-ai-dungeon-stress-tester-v1.4/reports/v14quick/custom/results.json,exact_duplicate_content,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,Tests/Static Audits and Smoke Results/aidrpg-ai-dungeon-mimic-tester-v1.4.1-safe_2/aidrpg-final-ai-dungeon-stress-tester-v1.4/reports/validation-smoke/results.json,Tests/Harness Regression and Reports/aidrpg-ai-dungeon-mimic-tester-v1.4.1-safe_2/aidrpg-final-ai-dungeon-stress-tester-v1.4/reports/v14quick/custom/results.json
extracted_archive_member,aidrpg-final-ai-dungeon-stress-tester-v1.3(1).zip,aidrpg-final-ai-dungeon-stress-tester-v1.3(1).zip!/runtime/state-snapshot.js,exact_duplicate_content,a738f3d9333c6fc4a1271d84a726faf18318934dcc40902fac0d5d74ca68c4c5,Tests/Harness Regression and Reports/aidrpg-ai-dungeon-mimic-tester-v1.4.1-safe_2/aidrpg-final-ai-dungeon-stress-tester-v1.4/runtime/state-snapshot.js,Tests/Harness Regression and Reports/aidrpg-final-ai-dungeon-stress-tester-v1.3_1/runtime/state-snapshot.js
extracted_archive_member,aidrpg-final-ai-dungeon-stress-tester-v1.3(1).zip,aidrpg-final-ai-dungeon-stress-tester-v1.3(1).zip!/runtime/source-locator.js,exact_duplicate_content,b7f4506ed0d43971f47f898c309dfedcc95e4ffac7f39aac6bbe8aa2a3ca41b5,Tests/Harness Regression and Reports/aidrpg-ai-dungeon-mimic-tester-v1.4.1-safe_2/aidrpg-final-ai-dungeon-stress-tester-v1.4/runtime/source-locator.js,Tests/Harness Regression and Reports/aidrpg-final-ai-dungeon-stress-tester-v1.3_1/runtime/source-locator.js
extracted_archive_member,aidrpg-final-ai-dungeon-stress-tester-v1.3(1).zip,aidrpg-final-ai-dungeon-stress-tester-v1.3(1).zip!/runtime/report-writer.js,exact_duplicate_content,d4330b2d26fa80cb2aa964230b539865eb5f49ae636f3eacf1a2e0af2f25b412,Tests/Harness Regression and Reports/aidrpg-ai-dungeon-mimic-tester-v1.4.1-safe_2/aidrpg-final-ai-dungeon-stress-tester-v1.4/runtime/report-writer.js,Tests/Harness Regression and Reports/aidrpg-final-ai-dungeon-stress-tester-v1.3_1/runtime/report-writer.js
extracted_archive_member,aidrpg-final-ai-dungeon-stress-tester-v1.3(1).zip,aidrpg-final-ai-dungeon-stress-tester-v1.3(1).zip!/runtime/assertions.js,exact_duplicate_content,fa1f7c177a3bdf8216428d8ebdb28f0fc34d8a51398c1cd474223befa8102b81,Tests/Harness Regression and Reports/aidrpg-ai-dungeon-mimic-tester-v1.4.1-safe_2/aidrpg-final-ai-dungeon-stress-tester-v1.4/runtime/assertions.js,Tests/Harness Regression and Reports/aidrpg-final-ai-dungeon-stress-tester-v1.3_1/runtime/assertions.js
extracted_archive_member,aidrpg-final-ai-dungeon-stress-tester-v1.3(1).zip,aidrpg-final-ai-dungeon-stress-tester-v1.3(1).zip!/suites/smoke/basic-smoke.json,exact_duplicate_content,1eb2f165913f376e6b0b03230382e0f933ca9e9473c32b051ead71f39a0e07d3,Tests/Static Audits and Smoke Results/aidrpg-ai-dungeon-mimic-tester-v1.4.1-safe_2/aidrpg-final-ai-dungeon-stress-tester-v1.4/suites/smoke/basic-smoke.json,Tests/Static Audits and Smoke Results/aidrpg-final-ai-dungeon-stress-tester-v1.3_1/suites/smoke/basic-smoke.json
extracted_archive_member,aidrpg-final-ai-dungeon-stress-tester-v1.3(1).zip,aidrpg-final-ai-dungeon-stress-tester-v1.3(1).zip!/suites/core-state/core-state.json,exact_duplicate_content,64906948eb6058ead4e63bed4b06638b419740d933701788e69432e84dd0be96,Tests/Harness Regression and Reports/aidrpg-ai-dungeon-mimic-tester-v1.4.1-safe_2/aidrpg-final-ai-dungeon-stress-tester-v1.4/suites/core-state/core-state.json,Tests/Harness Regression and Reports/aidrpg-final-ai-dungeon-stress-tester-v1.3_1/suites/core-state/core-state.json
extracted_archive_member,aidrpg-final-ai-dungeon-stress-tester-v1.3(1).zip,aidrpg-final-ai-dungeon-stress-tester-v1.3(1).zip!/suites/turn-engine/turn-engine.json,exact_duplicate_content,4894ef4b77fa2e58e726f69f5acc7b3029828b25be4a4ce85eb7b2cd953719a9,Tests/Harness Regression and Reports/aidrpg-ai-dungeon-mimic-tester-v1.4.1-safe_2/aidrpg-final-ai-dungeon-stress-tester-v1.4/suites/turn-engine/turn-engine.json,Tests/Harness Regression and Reports/aidrpg-final-ai-dungeon-stress-tester-v1.3_1/suites/turn-engine/turn-engine.json
